Hsrlnm,Orgsnm,Dstntnm,Hsrloptm,Hsrlspd,Dsgnspd,Mnst
高铁线路名称,起点名,终点名,开通时间,线路长度(km),设计速度(km/h）,沿途主要车站
青盐铁路,青岛北,盐城北,2018/12/26,428,200,青岛北、红岛、洋河口、青岛西、董家口、两城、日照西、岚山西、赣榆北、赣榆、连云港、海州、董集、灌云东、响水县、滨海港、阜宁东、射阳、盐城北
铜玉高铁,铜仁,大宗坪,2018/12/26,47.7,200,铜仁、万山、大宗坪
通新高铁,通辽,新民北,2018/12/29,197,250,通辽、木里图、甘旗卡、章古台、彰武、新民北
京哈高铁承德至沈阳段,承德南,沈阳北,2018/12/29,506,300,承德南、承德县北、平泉北、牛河梁、喀左、奈林皋、朝阳、北票、乌兰木图、阜新、黑山北、新民北、沈阳西、沈阳
深茂高铁江茂段,江门,茂名,2018/7/1,265.539,200,江门、双水镇、台山、开平南、恩平、阳东、阳江、阳西、马踏、电白、茂名
广大铁路复线,楚雄北,大理,2018/7/1,174.5,200,广通北、楚雄北、南华南、普棚、云南驿、祥云南、大理东、大理
广深港高铁香港段,西九龙,,2018/9/23,26,200,西九龙、福田站 、深圳北、光明城、虎门、庆盛、广州南
哈佳铁路,哈尔滨,佳木斯,2018/9/30,343,200,哈尔滨、赵安屯、宾西北、宾西东、宾州、宾安、胜利镇、日兴屯、双龙湖、方正、得莫利、高楞、达连河、依兰、宏克力、兴华、佳木斯西、佳木斯、东佳木斯
梅汕高铁,梅州西,潮汕,2019/10/11,122.41,250,梅州西、畲江北、建桥、丰顺东、揭阳、揭阳机场、潮汕
日兰高速铁路日照至曲阜段,日照西,曲阜东,2019/11/26,235,310,日照西、厉家寨、莒南北、临沂北、费县北、蒙山、泗水南、曲阜东
汉十高速铁路,汉口,十堰东,2019/11/29,460,350,汉口、后湖、金银潭、盘龙城、天河机场、天河街、闵集、毛陈、槐荫、孝感东、云梦东、安陆西、随州南、随县、枣阳、襄阳东、谷城北、丹江口、武当山西、十堰东
武西高铁孝感至十堰段,孝感东,十堰东,2019/11/29,377,310,孝感东、云梦东、安陆西、随州南、随县、枣阳、襄阳东、谷城北、丹江口、武当山西、十堰东
郑阜高速铁路,郑州南,阜阳西,2019/12/1,276,350,郑州南、许昌北、鄢陵、扶沟南、西华、周口东、淮阳南、沈丘北、界首南、临泉、阜阳西
郑渝高速铁路郑襄段,郑州东,襄阳东,2019/12/1,389,310,郑州东、郑州南、长葛北、禹州、郏县、平顶山西、方城、南阳东、邓州东、襄阳东
京港高铁商合段,商丘,合肥,2019/12/1,378,350,商丘、商丘东、芦庙、亳州南、古城东、太和东、阜阳西、颍上北、凤台南、寿县、淮南南、水家湖、合肥北城、合肥
